"age_group","gender","pops_thousand","year"
"0-4","Laki-Laki",12044.8,2019
"5-9","Laki-Laki",12234.2,2019
"10-14","Laki-Laki",11824.8,2019
"15-19","Laki-Laki",11406.2,2019
"20-24","Laki-Laki",11167.6,2019
"25-29","Laki-Laki",10690.9,2019
"30-34","Laki-Laki",10320.4,2019
"35-39","Laki-Laki",10058.2,2019
"40-44","Laki-Laki",9679.1,2019
"45-49","Laki-Laki",8876.6,2019
"50-54","Laki-Laki",7699.2,2019
"55-59","Laki-Laki",6314.8,2019
"60-64","Laki-Laki",4895.1,2019
"65-69","Laki-Laki",3337.5,2019
"70-74","Laki-Laki",2027.6,2019
"75+","Laki-Laki",2080.7,2019
"0-4","Perempuan",11560.1,2019
"5-9","Perempuan",11739.7,2019
"10-14","Perempuan",11232.4,2019
"15-19","Perempuan",10888,2019
"20-24","Perempuan",10750,2019
"25-29","Perempuan",10537.1,2019
"30-34","Perempuan",10261.8,2019
"35-39","Perempuan",10207.6,2019
"40-44","Perempuan",9687.6,2019
"45-49","Perempuan",8817.8,2019
"50-54","Perempuan",7739,2019
"55-59","Perempuan",6435,2019
"60-64","Perempuan",4923.1,2019
"65-69","Perempuan",3394.3,2019
"70-74","Perempuan",2357.3,2019
"75+","Perempuan",2886.4,2019
